分類,問い,回答
マイナンバー: マイナ保険証: ,マイナンバーカードの暗証番号がロックされた場合、健康保険証としては利用できますか。,"医療機関・薬局でマイナンバーカードを健康保険証として利用する場合、暗証番号がロックされていても、顔認証付きカードリーダーで顔認証または窓口職員によるマイナンバーカードの顔写真の目視確認で本人確認が可能ですので、健康保険証として利用いただくことは可能です。
暗証番号のロックを解除するためには、住民票のある市区町村窓口等で利用者証明用電子証明書パスワード（4桁の番号）の再設定を行ってください。"EOL
マイナンバー: マイナ保険証: ,マイナンバーカードの利用者証明用電子証明書の有効期限が切れたため、更新手続を行いました。再度、保険証の利用登録をする必要はありますか。,過去に1度でもマイナンバーカードの健康保険証利用の利用登録を行った場合は、利用者証明用電子証明書を更新した場合でも再登録は不要です。EOL
マイナンバー: マイナ保険証: ,マイナンバーカードによるオンライン資格確認は、生活保護受給者の医療券も対象ですか。,"令和6年3月より生活保護受給者の資格情報の確認がオンラインで可能となります。
医療機関・薬局において、医療保険のオンライン資格確認の仕組みを活用し、生活保護受給者の資格確認および医療券・調剤券情報をオンラインで確認できるようになります。
また、受給者の同意のもと、併せて診療・薬剤情報・健診等情報が閲覧可能となります。"EOL
マイナンバー: マイナ保険証: ,自衛官はマイナンバーカードを自衛官診療証として利用登録できますか。,現在、マイナンバーカードを自衛官診療証として利用登録をすることはできません。なお、自衛官診療証をマイナンバーカードの一体化については、防衛省において実施に向けて検討しています。EOL
マイナンバー: マイナ保険証: ,マイナンバーカードの健康保険証登録は削除できますか。,現在、マイナンバーカードの健康保険証利用の登録削除はできません。EOL
マイナンバー: マイナ保険証: ,セブン銀行のATMでマイナンバーカードの健康保険証利用の申込みをする場合、何が必要になりますか。,ご自身のマイナンバーカードのみとなります。その際、マイナンバーカードの数字4桁の暗証番号（利用者証明用電子証明書パスワード）が必要となります。ご自身のマイナンバーカードをご持参いただき、ATM画面表示の案内に沿って申込みをお願いいたします。EOL
マイナンバー: マイナ保険証: ,セブン銀行のATMでマイナンバーカードの健康保険証利用の申込みができる時間帯、曜日は決まっていますか。,原則24時間365日お申込みいただけます。ただし、一部、駅や商業施設等設置のATMは施設所定の営業時間に準じ、24時間ご利用いただけない場合があります。EOL
マイナンバー: マイナ保険証: ,セブン銀行のATMでマイナンバーカードの健康保険証利用の申込みをすると手数料はかかりますか。,手数料はかかりません。EOL
マイナンバー: マイナ保険証: ,セブン銀行のATMで子どものマイナンバーカードの健康保険証利用の申込みはできますか。,お子さま本人が利用申込を行うことが難しい場合には、子どもに代わって保護者がお子様のマイナンバーカードを読み取り、利用者証明用電子証明書の数字4桁の暗証番号を入力するなどにより、利用申込を行うことができます。EOL
マイナンバー: マイナ保険証: ,受診した医療機関や薬局の情報（医療機関等の名称）をマイナポータルや医療機関等で閲覧できますか。,閲覧可能です。EOL
マイナンバー: マイナ保険証: ,ドラッグストア等で、処方箋を提出しないで市販の薬剤を購入する場合、その薬剤情報や医療費通知情報をマイナポータル等で閲覧できますか。,市販の薬剤を購入した情報は、閲覧できません。EOL
マイナンバー: マイナ保険証: ,保険医療適用外の受診等について、その薬剤情報や医療費情報をマイナポータルで閲覧できますか。,閲覧できません。EOL
マイナンバー: マイナ保険証: ,マイナンバーカードの健康保険証利用登録画面で「あなたの有効な保険資格情報がないため、正常に処理できませんでした。」と表示されます。どうすればよいですか。,"登録しようとしている健康保険証が、下記の場合、被保険者番号を確認できないため、該当のメッセージが表示されます。
・自衛官診療証（自衛官等）
・健康保険被保険者受給資格者票（健康保険日雇特例被保険者）
・健康保険被保険者特別療養費受給票（健康保険日雇特例被保険者）
・医療扶助の医療券・調剤券（生活保護受給者）
上記のケースに当てはまらずに表示がなされた場合、健康保険証の発行元である保険者において、保険証の情報が登録されていない可能性があります。
この場合は、国民健康保険の場合は市区町村役所の窓口まで、会社等で社会保険に加入されている場合はご所属の保険者（健康保険組合、協会けんぽ、共済組合など）までお問い合わせください。"EOL
マイナンバー: マイナ保険証: ,マイナポータルの「最新の健康保険証情報の確認」で健康保険証情報を取得すると交付年月日が健康保険証に記載されている交付年月日と異なります。,国民健康保険被保険者証または後期高齢者医療被保険証をお持ちの場合、お持ちの健康保険証と交付年月日が異なる場合がございます。それ以外の健康保険証をお持ちの場合は、大変お手数ですが、ご加入の医療保険者にお勤め先等を介してお問合せください。EOL
マイナンバー: マイナ保険証: ,マイナポータルの「最新の健康保険証情報の確認」で健康保険証情報を取得すると氏名等に「●(黒丸)」が表示されます。,"医療保険に登録している氏名に使われている漢字が外字等の文字のため、「●」に変換して表示しています。
「●」を回避したい場合は、標準文字に変更する等をご加入の医療保険者にお勤め先等を介してご相談ください。"EOL
マイナンバー: マイナ保険証: ,健康保険証情報が存在するはずなのにマイナポータルに表示されません。,「わたしの情報」（自己情報）から自身の保険者を確認し、会社等にお勤めの方はお勤め先へ、それ以外の方はお住まいの市区町村へお問い合わせください。EOL
マイナンバー: マイナ保険証: ,有効期限が最長5年の「資格確認書」を発行するとの報道を見ましたが、どういうものですか。,健康保険証の新規発行の停止後においては、マイナンバーカードをお持ちでない方、マイナンバーカードの健康保険証利用登録をされていない方などには、保険者から、氏名・生年月日、被保険者等記号・番号、保険者情報等が記載された「資格確認書」が交付され、「資格確認書」で医療機関・薬局を受診等することができます。EOL
マイナンバー: マイナ保険証: ,マイナンバーカードの健康保険証が使えない小規模な医療機関でも保険診療を受けられるよう、「資格情報のお知らせ」を出すとの報道を見ましたが、どういうものですか。,今後、マイナンバーカードの健康保険証利用登録をされている方などには、ご自身の被保険者資格を簡易に把握できるよう、保険者から、氏名、被保険者等記号・番号等が記載された「資格情報のお知らせ」が交付され、マイナ保険証とともに窓口で提示することで、マイナ保険証の読み取りができない例外的な場合でも受診することができます。ただし、「資格情報のお知らせ」のみでは医療機関・薬局を受診等することはできません。EOL
マイナンバー: 公金口座登録: ,公金受取口座登録制度とは何ですか。,"公金受取口座登録制度は、国民の皆さまに、現在、金融機関にお持ちの預貯金口座を一人一口座、給付金等の受取のための口座として、国（デジタル庁）に登録していただく制度です。
これにより、給付金等の申請手続等において、口座情報の記載や、通帳の写し等の添付等が不要になります。"EOL
マイナンバー: 公金口座登録: ,公金受取口座について、具体的にはどのような給付金が受け取れますか。,児童手当、年金、所得税の還付金等の幅広い給付金等の受取に活用することができるようになります。公金受取口座の利用が可能な手続については、順次、デジタル庁のウェブサイト上でお知らせしていきます。また、それぞれの手続の詳細については、給付金を申請する行政機関にお問い合わせください。EOL
マイナンバー: 公金口座登録: ,口座を登録しなければ、給付金を受け取ることはできないのですか。,公金受取口座を登録しなくても、給付金を受けることは可能ですが、これまでどおり給付申請時に個別に口座情報の記載や通帳の写し等を提出していただくことになります。EOL
マイナンバー: 公金口座登録: ,公金受取口座を所得税等の還付金の振込先にすることはできますか。,"公金受取口座を登録済みの場合、以下の手続において公金受取口座を所得税等の還付金の振込先に指定（公金受取口座の利用）することができます。
・書面及びe-Taxによる令和4年分以降の所得税・消費税に係る確定申告（還付申告）及び更生の請求（※準確定申告を除く）
なお、確定申告書等作成コーナーでの手続にて、還付金の振込先に公金受取口座を希望する場合、「公金受取口座への振込み」を選択してください。書面での確定申告の場合、「公金受取口座の利用」にチェックを入れてください。"EOL
マイナンバー: 公金口座登録: ,公金受取口座の登録はいつまでに行う必要がありますか。,公金受取口座の登録は義務ではありませんので、登録に期限はありません。EOL
マイナンバー: 公金口座登録: ,公金受取口座を登録するためには、何が必要ですか。,"公金受取口座の登録には、以下に掲げるものが必要です。
 ・マイナポータルにアクセスできるパソコンやスマートフォン
 ・マイナンバーカード
 ・登録したい預貯金口座情報が分かるもの（例）通帳やキャッシュカードなど
また、登録操作のなかで、過去にご自身で設定された、「利用者証明用電子証明書パスワード」・「券面事項入力補助用パスワード」を入力いただく必要があります。"EOL
マイナンバー: 公金口座登録: ,登録が可能な預金口座の種類はどのようなものですか。,"公金受取口座には以下の預貯金口座が登録できます。それ以外の預貯金口座（例：貯蓄預金口座・積立定期預金口座）については登録できませんのでご注意ください。
1.普通預金口座・普通貯金口座（銀行や信用金庫等）・通常貯金口座（ゆうちょ銀行）
2.当座預金口座・当座貯金口座（ゆうちょ銀行の場合は振替口座）
3.総合口座（普通預金・普通貯金を取り扱うもの）
また、登録可能な金融機関につきましては、<デジタル庁ウェブサイト,https://www.digital.go.jp/policies/account_registration_finance>をご確認ください。"EOL
マイナンバー: 公金口座登録: ,公金受取口座を金融機関の窓口等から登録することはできますか。,金融機関窓口での公金受取口座の登録は、令和6年度末頃に開始予定です。EOL
マイナンバー: 公金口座登録: ,複数の口座を登録することは可能ですか。,複数の預貯金口座を登録することはできません。公金受取口座は一人一口座、国（デジタル庁）に登録することができます。EOL
マイナンバー: 公金口座登録: ,通帳を発行しない口座やインターネット専業銀行の口座でも登録できますか。,"登録可能な金融機関につきましては、<デジタル庁ウェブサイト,https://www.digital.go.jp/policies/account_registration_finance>をご確認ください。"EOL
マイナンバー: 公金口座登録: ,スマホやパソコンを持っていませんが、公金受取口座の登録はできますか。,マイナンバーカードをお持ちの方は、家族など本人以外のパソコンやスマートフォンからでも登録することができます。EOL
マイナンバー: 公金口座登録: ,公金受取口座は、日本国籍を持たない者でも登録できますか。,外国籍の方でも、マイナンバーカードをお持ちの方は登録することができます。EOL
マイナンバー: 公金口座登録: ,公金受取口座の登録が完了しているかはどうすれば確認できますか。,登録されている口座情報は、マイナポータルホームタブ「おかね」エリア内の「公金受取口座」欄をタップして「口座情報の登録状況」ページにて確認いただけます。EOL
マイナンバー: 公金口座登録: ,公金受取口座として登録した現在の口座情報はどうすれば確認できますか。,マイナポータルのホームタブ「おかね」エリア内の「公金受取口座」欄をタップして「口座情報の登録状況」ページで確認いただけます。EOL
マイナンバー: 公金口座登録: ,口座情報履歴を確認したところ、登録した金融機関名と支店名が変更されていましたが、どうしてですか。,"金融機関や支店の統廃合などがあった場合、デジタル庁が登録されている口座情報を修正することがあります。
なお、この場合、申請経路欄には「デジタル庁による変更登録」と表示されますので、ご確認ください。"EOL
マイナンバー: 公金口座登録: ,公金受取口座を登録した後、当該口座がなくなった場合はどうなりますか。,マイナポータルから公金受取口座の変更等を行ってください。EOL
マイナンバー: 公金口座登録: ,公金受取口座の登録を削除したい場合にはどうしたらいいですか。,マイナポータルから公金受取口座の削除を行ってください。EOL
マイナンバー: 公金口座登録: ,引越した場合、口座情報の住所変更はどうすればよいですか。,"マイナポータルホームタブ「おかね」エリア内の「公金受取口座」欄をタップすると、表示される「公金受取口座」画面　の「変更」ボタンをタップして、住所の更新をしてください。なお、住所の変更にはマイナンバーカードが必要になります。以降は、画面の案内に沿って、お手続を完了させてください。
もし、「マイナンバーカードを読み取る」ボタンをタップしても、新住所が表示されないということでしたら、マイナンバーカードのICチップが更新（券面が変更）されていないことが考えられます。
マイナンバーカードの券面をご覧いただき、旧住所が記載されていましたら、お住いの市区町村でマイナンバーカードのICチップの更新（券面の変更）のお手続を行い、ICチップの更新をしてください。そのうえで、上記のマイナポータルでのお手続をしてください。"EOL
マイナンバー: 公金口座登録: ,名字が変わったので口座名義も変更したいのですが、どうすればよいですか。,"マイナポータルホームタブ「おかね」エリア内の「公金受取口座」欄をタップすると、表示される「公金受取口座」画面の「変更」ボタンをタップして、氏名の更新をしてください。なお、氏名の変更にはマイナンバーカードが必要になります。以降は、画面の案内に沿って、お手続を完了させてください。また、「口座名義（カタカナ）」欄には、改姓後の氏名カタカナを入力してください。
もし、「マイナンバーカードを読み取る」ボタンをタップしても、改正後の氏名が表示されないということでしたら、マイナンバーカードのICチップが更新（券面が変更）されていないことが考えられます。マイナンバーカードの券面をご覧いただき、改正前の氏名が記載されていましたら、お住いの市区町村でマイナンバーカードのICチップの更新（券面の変更）のお手続を行い、ICチップの更新をしてください。そのうえで、上記のマイナポータルでのお手続をしてください。"EOL
マイナンバー: 公金口座登録: ,旧姓（旧氏）名義の口座を登録したいのですが、どうすればいいですか。,"旧姓（旧氏）名義の口座を登録する場合は、マイナンバーカードへの旧姓（旧氏）の併記が必要です。お住いの市区町村で、マイナンバーカードに旧姓（旧氏）を併記するためのお手続をお願いいたします。
マイナンバーカードに旧姓（旧氏）の併記ができましたら、マイナポータルより口座登録をしてください。"EOL
マイナンバー: 公金口座登録: ,公金受取口座に登録する口座は、現在公金（児童手当・年金等）を受け取っている口座を登録しなければならないのですか。,"ご本人名義で、登録可能な金融機関をご利用であれば、すでに公金を受け取っている口座以外の口座を登録することも可能です。
なお、異なる口座を登録した場合でも、自動的にすべての公金が公金受取口座登録をした口座へ振込まれるわけではありません。"EOL
マイナンバー: 公金口座登録: ,公金受取口座を登録すると、手数料等の納付が必要な行政手続をオンラインで行った場合に、登録した口座から口座引き落とし等による手数料等の支払いができますか。,公金受取口座は、給付金等の受取のための口座として、登録していただくものであり、口座の登録により口座振替等が可能になることはありません。なお、手数料の口座振替によるお支払いが可能かについては、その手数料を納付する行政手続によって異なります。EOL
マイナンバー: 公金口座登録: ,登録した口座から、税金等を引き落とされることはありますか。,公金受取口座は、給付金等の受取のための口座として、登録していただくものです。そのため、公金受取口座の登録を行ったことによって、税金等が引き落とされるということはありません。なお、本制度とは別に、納税等のために登録口座で口座振替等の手続がされているかについては、各金融機関にお問い合わせください。EOL
マイナンバー: 公金口座登録: ,口座を登録すると預貯金額や取引履歴（入金履歴など）が行政機関に知られてしまいませんか。,公金受取口座を登録しても、預貯金残高等の情報が行政機関に知られることはありません。また、税務調査等の法令に基づく場合を除いて、行政機関から預貯金口座の残高や取引記録等を確認されることはありません。EOL
マイナンバー: 公金口座登録: ,他人にマイナンバーを知られたり、マイナンバーカードを盗難された場合、登録した口座の預貯金を引き出されたりしませんか。,"マイナンバーやマイナンバーカードだけで、預貯金の引き出しを行うことはできません。
なお、マイナンバーカードを盗難された場合には、速やかに最寄りの警察か交番に届け出てください。併せて、マイナンバーカードの一時機能停止を受け付けるマイナンバー総合フリーダイヤルに連絡してください。（音声ガイダンスに従って、メニュー番号：2番の「マイナンバーカードの紛失・盗難」を指定してください。）。その後、市区町村に届け出て再交付の手続をしてください。"EOL
マイナンバー: 公金口座登録: ,申請端末で入力した口座情報が他人に盗まれ悪用されることはないですか。,"申請端末に口座情報が保管されることはありません。ただし、公金受取口座の登録操作においては、以下の3点にご注意ください。　
・盗み見をされないこと
・操作している最中に端末（画面）から離れないこと
・操作を終えたら必ずログアウトをすること"EOL
マイナンバー: 公金口座登録: ,確定申告で公金受取口座を登録する際、還付金の振込口座とは別の口座を、公金受取口座として登録したいのですが、可能ですか。,"確定申告による還付金を受け取る口座とは別の口座を公金受取口座として登録する場合は、確定申告の手続にて公金受取口座の登録をすることができません。
マイナポータルから登録を行ってください。"EOL
マイナンバー: 公金口座登録: ,預貯金口座へのマイナンバーの付番は、公金受取口座の登録と何が違うのですか。,"預貯金口座へのマイナンバーの付番（預貯金口座付番）は、金融機関へマイナンバーを提出し、金融機関がマイナンバーにて口座の管理をする制度です。
給付金等を受け取るための預貯金口座を登録する公金受取口座登録制度とは異なるものです。
預貯金口座へのマイナンバーの付番によって、将来的には、相続時や災害時に、一つの金融機関の窓口において、マイナンバーが付番された預貯金口座の所在を確認できるようになります。"EOL
マイナンバー: 公金口座登録: ,マイナンバーの付番の依頼を行うことにより、銀行や国に、預貯金や財産などの資産状況を把握されるということはありませんか。,"預貯金付番円滑法に基づく付番は、国民の負担軽減のための制度であり、国民の金融資産を把握するものではありません。
"EOL
医療保険: 国民健康保険（市町村国保）: ,医療保険には全員加入しなければならないのですか。,"日本では、国民全員がいずれかの医療保険制度に加入することになっており、国民皆保険制度と呼ばれています。これによって、お互いの医療費を支え合い、いつでも、誰でも、必要な医療サービスを少ない費用負担（医療機関の窓口で払う医療費は原則3割です。）で受けることができます。
今後も現行の社会保険方式による国民皆保険を堅持し、国民の安全・安心な暮らしを保障していくことが必要です。"EOL
医療保険: 国民健康保険（市町村国保）: ,国民健康保険とは何ですか。,"国民健康保険とは、いざというときに安心してお医者さんにかかれるように、加入者が保険料を出し合って医療費補助にあてようという助け合いの制度です。
職場の健康保険に加入している人とその家族、後期高齢者医療制度に加入している人、生活保護を受けている人を除く、すべての人が国民健康保険の加入者になります。"EOL
医療保険: 国民健康保険（市町村国保）: ,国民健康保険にはみんな加入しないといけないのですか。,"職場の健康保険（協会けんぽ、健康保険組合、共済組合）に加入している方とその扶養家族、生活保護を受けている方などを除いて、その市町村に住んでいる方はすべてその市町村が行う国民健康保険に加入しなければなりません。

日本の医療保険制度では、国民のすべてが何らかの医療保険に加入しなければいけません（国民皆保険）。このため、会社を退職した時や扶養家族から抜けたなどで、健康保険の資格が無くなってしまった時は、国民健康保険に加入する必要があります。国民健康保険では、職場の健康保険のように「本人」「被扶養者」などの考え方はなく、一人ひとりが「被保険者」となります。"EOL
医療保険: 国民健康保険（市町村国保）: ,交通事故などの場合、国民健康保険は使えますか。,"交通事故などの第三者の行為による傷病の治療でも、原則国民健康保険で治療を受けることができます。その後、お住まいの市町村の国民健康保険の窓口に届出をしていただきます。
この場合、国民健康保険があなたの医療費を一時的に立て替えて、後日、加害者に費用を請求します。
まずは、お住まいの市町村の国民健康保険の窓口に連絡をしてください。"EOL
医療保険: 国民健康保険（市町村国保）: ,国民健康保険の加入手続について教えてください。,国民健康保険の加入手続が必要な事由が生じたときから14日以内に、必ずお住まいの市町村の国民健康保険の窓口に届出をしてください。加入の事由により届出に必要なものが異なりますので、詳しくは、お住まいの市町村の国民健康保険の窓口にお問い合わせください。EOL
医療保険: 国民健康保険（市町村国保）: ,国民健康保険の脱退手続について教えてください。,国民健康保険の脱退手続が必要な事由が生じたときから14日以内に、必ずお住まいの市町村の国民健康保険の窓口に届出をしてください。脱退の事由により届出に必要なものが異なりますので、詳しくは、お住まいの市町村の国民健康保険の窓口にお問い合わせください。EOL
医療保険: 国民健康保険（市町村国保）: ,今まで国民健康保険でしたが、職場の健康保険に加入しました。自動的に国民健康保険の資格は切れますか。,"国民健康保険を脱退する手続が必要です。
脱退手続に必要なものなど、詳しくはお住まいの市町村の国民健康保険の窓口にお問い合わせください。"EOL
医療保険: 国民健康保険（市町村国保）: ,代理人による国民健康保険の加入（脱退）手続について教えてください。,国民健康保険の加入（脱退）手続は代理の方も行うことができます。ただし、別の世帯の方が行う場合は委任状が必要となります。詳しくは、お住まいの市町村の国民健康保険の窓口にお問い合わせください。EOL
医療保険: 国民健康保険（市町村国保）: ,国民健康保険の保険証はどのように交付されますか。,お住まいの市町村の国民健康保険の窓口にお問い合わせください。EOL
医療保険: 国民健康保険（市町村国保）: ,保険証を紛失した場合の手続について教えてください。,国民健康保険の保険証を紛失、焼失、損傷、印字がかすれて見えなくなった場合は、お住まいの市町村の国民健康保険の窓口で再交付の申請をすることができます。EOL
医療保険: 国民健康保険（市町村国保）: ,引越しや結婚などで、保険証の記載が変わるような場合は手続が必要でしょうか。,保険証の記載事項が変わるような場合には14日以内にお住まいの市区町村の国民健康保険の窓口で変更の手続をしてください。EOL
医療保険: 国民健康保険（市町村国保）: ,国民健康保険の保険証を持たずに病院にかかった場合、払い戻しを受けられるか教えてください。,やむを得ず保険証を持たないで医療機関にかかった場合、あとから申請することで、保険給付分の費用が療養費として支給される場合があります。申請の手続について詳しくは、お住まいの市町村の国民健康保険の窓口にお問い合わせください。EOL
医療保険: 国民健康保険（市町村国保）: ,国民健康保険の資格があるのに、以前加入していた健康保険の保険証を使ってしまった。どうしたらいいですか。,"既に資格を喪失した保険証を使用してしまうと、以前加入していた健康保険から病院等に支払った医療費を返還請求されることがあります。その場合は、以前加入していた健康保険への支払いを済ませた後に国民健康保険に療養費として請求することができます。
詳細については、お住まいの国民健康保険の窓口にお問い合わせください。"EOL
医療保険: 国民健康保険（市町村国保）: ,高齢受給者証について教えてください。,"70歳になった方は、高齢受給者証（お住まいの自治体によっては高齢受給者証を兼ねた国民健康被保険者証兼高齢受給者証）が届きます。
高齢受給者証（国民健康被保険者証兼高齢受給者証）の交付時期はお住まいの市町村の国民健康保険の窓口にお問い合わせください。
前年度(4月～7月の場合前々年度)の所得に応じて、医療機関での自己負担割合が2割又は3割となります。"EOL
医療保険: 国民健康保険（市町村国保）: ,高齢受給者証を紛失しましたが、どうしたらいいですか。,お住まいの市町村の国民健康保険窓口で再発行の手続をしてください。EOL
医療保険: 国民健康保険（市町村国保）: ,会社の健康保険に入ったが国民健康保険料はいつまで支払えばいいのですか。,国民健康保険料は、会社の健康保険の加入月の前月分までになります。後日、変更通知書が郵送されます。EOL
医療保険: 国民健康保険（市町村国保）: ,国民健康保険の保険料について教えてください。,"保険料は、医療分、後期高齢者支援金分、介護分（40歳以上65歳未満の方）の区分ごとに、被保険者一人あたりに対する均等割、一世帯あたりに対する平等割、被保険者の所得に対する所得割、被保険者の固定資産税額に対する資産割を算定し、それらをすべて合算したものになります。
詳しくは、お住まいの市町村の国民健康保険の窓口にお問い合わせください。"EOL
医療保険: 国民健康保険（市町村国保）: ,国民健康保険料の納付方法について教えてください。,"年間の保険料は、その年の4月から翌年3月までの1年分の保険料を世帯ごとに決定し、国民健康保険料納入通知書でお知らせします。
国民健康保険料の納付方法は、ご自身で保険料を納めていただく「普通徴収」と年金から保険料を天引きする「特別徴収」の2種類があります。
1.普通徴収の納付方法は、口座振替、金融機関窓口での納付、コンビニエンスストア納付、スマートフォン決済等があります。
2.世帯主を含め、世帯内の国民保険加入者全員が65歳以上75歳未満であるなど、一定の条件を満たしている場合は、その世帯主からの年金天引き（特別徴収）となります。"EOL
医療保険: 国民健康保険（市町村国保）: ,国民健康保険料の納入通知書について教えてください。,国民健康保険料の納入通知書は、保険料の金額や納付方法などをお知らせするもので、お住まいの市町村の国民健康保険の担当から世帯主宛てに送付されます。国民健康保険の加入・脱退の手続をされたときは、その翌月以降に納入通知書を世帯主宛てに送付されます。EOL
医療保険: 国民健康保険（市町村国保）: ,納付した国民健康保険料（税）の金額を教えてください。,"確定申告などで、保険料（税）をどれくらい支払ったかを知りたいときは、保険料（税）を支払った時の領収書、もしくは通帳の記録（口座振替の場合）を確認してください。
納付額を証明する書類が必要なときは、お住まいの市区町村の国民健康保険の窓口までお問い合わせください。"EOL
医療保険: 国民健康保険（市町村国保）: ,国民健康保険料の減免について教えてください。,"国民健康保険料について、災害その他特別の事情により生活が著しく困難である場合などに、減免が認められる場合があります。下記の期日までにお住まいの市町村の国民健康保険の窓口まで申し出をしてください。
（普通徴収の場合）納期限まで
（特別徴収（年金天引き）の場合）特別徴収対象年金給付の支払日まで"EOL
医療保険: 国民健康保険（市町村国保）: ,失業者に対する国民健康保険料の軽減について教えてください。,65歳未満で解雇・倒産・雇い止め等で職を失った方については、国民健康保険料が軽減され、失業者本人の前年の給与所得を100分の30とみなして、保険料が計算されます。対象となる方は、お住まいの市町村の国民健康保険の窓口に雇用保険受給資格者証を持参し、手続を行ってください。EOL
医療保険: 国民健康保険（市町村国保）: ,国民健康保険料を滞納するとどうなりますか。,"納期限を過ぎても納付のないときは、督促状や催告書をお送りします。延滞金が加算される場合もあります。
督促状の送付後も納付がない場合は、差押等の滞納処分の対象となることがありますのでご注意ください。
納付が困難な場合は、お住まいの市区町村の国民健康保険の窓口にお問い合わせください。"EOL
医療保険: 国民健康保険（市町村国保）: ,葬祭費（国民健康保険）について教えてください。,"国民健康保険の加入者が亡くなったとき、その葬祭を行った方（喪主）に葬祭費を支給します。
申請の手続について詳しくは、お住まいの市町村の国民健康保険の窓口にお問い合わせください。"EOL
医療保険: 健康保険（健康保険組合）: ,医療保険には全員加入しなければならないのですか。,"日本では、国民全員がいずれかの医療保険制度に加入することになっており、国民皆保険制度と呼ばれています。これによって、お互いの医療費を支え合い、いつでも、誰でも、必要な医療サービスを少ない費用負担（医療機関の窓口で払う医療費は原則3割です。）で受けることができます。
今後も現行の社会保険方式による国民皆保険を堅持し、国民の安全・安心な暮らしを保障していくことが必要です。"EOL
医療保険: 健康保険（健康保険組合）: ,勤め先の会社の健康保険組合について知りたい。,"現在、このチャットボットではお答えできません。申し訳ありません。
ご加入の健康保険組合にお問い合わせください。"EOL
医療保険: 健康保険（協会けんぽ）: ,医療保険には全員加入しなければならないのですか。,"日本では、国民全員がいずれかの医療保険制度に加入することになっており、国民皆保険制度と呼ばれています。これによって、お互いの医療費を支え合い、いつでも、誰でも、必要な医療サービスを少ない費用負担（医療機関の窓口で払う医療費は原則3割です。）で受けることができます。
今後も現行の社会保険方式による国民皆保険を堅持し、国民の安全・安心な暮らしを保障していくことが必要です。"EOL
医療保険: 健康保険（協会けんぽ）: ,全国健康保険協会の健康保険（協会けんぽ）について知りたい。,"全国健康保険協会の健康保険（協会けんぽ）については、<全国健康保険協会,https://www.kyoukaikenpo.or.jp/>をご確認ください。"EOL
医療保険: その他健康保険: ,医療保険には全員加入しなければならないのですか。,"日本では、国民全員がいずれかの医療保険制度に加入することになっており、国民皆保険制度と呼ばれています。これによって、お互いの医療費を支え合い、いつでも、誰でも、必要な医療サービスを少ない費用負担（医療機関の窓口で払う医療費は原則3割です。）で受けることができます。
今後も現行の社会保険方式による国民皆保険を堅持し、国民の安全・安心な暮らしを保障していくことが必要です。"EOL
医療保険: 後期高齢者医療制度: ,後期高齢者医療制度について教えてください。,"後期高齢者医療制度は、75歳以上の人全員と一定の障害がある65歳以上の人で申請により認定された人が加入する高齢者の医療制度です。
制度の運営は、各都道府県単位ですべての市町村が加入する「後期高齢者医療広域連合」が行います。
「後期高齢者医療広域連合」は運営主体であり、保険料の決定、医療を受けたときの給付などを行います。
市町村は、後期高齢者医療制度の事務のうち、保険料の徴収、各種申請・届出の受付、保険証の引き渡しなどの窓口業務を行います。"EOL
医療保険: 後期高齢者医療制度: ,交通事故などの場合には、後期高齢者医療制度の保険証は使えますか。,後期高齢者医療制度について、交通事故などの第三者の行為による傷病の治療でも、市町村の後期高齢者医療制度の窓口への連絡・届出をいただくことで保険証を使用して診療を受けることができます。医療機関にかかる前にお住まいの市町村の後期高齢者医療制度の窓口に連絡をしてください。EOL
医療保険: 後期高齢者医療制度: ,後期高齢者医療制度の保険料の納付について教えてください。,"後期高齢者医療制度では、後期高齢者医療に要する費用に充てるため、被保険者に後期高齢者医療保険料を賦課し、徴収します。賦課は、広域連合が被保険者に対し、広域連合の条例で定めるところにより算定された保険料率によって算定された保険料額によって行います。
徴収は、特別徴収（年金からの引き落とし）又は普通徴収（口座振替等）で行われます。
保険料は、被保険者の保険料負担能力に応じて賦課される応能分と、等しく被保険者に賦課される応益分から構成され、個人単位で賦課されます。
保険料の詳細については、お住まいの市町村の後期高齢者医療制度の窓口にお問い合わせください。"EOL
医療保険: 後期高齢者医療制度: ,後期高齢者医療制度の被保険者資格を取得したら、保険証はいつ交付されますか。,"後期高齢者医療制度は、75歳以上の人全員と一定の障害がある65歳以上の人で申請により認定された人が加入する高齢者の医療制度です。
75歳になったら自動的に後期高齢者医療制度に切り替わりますので、切り替えの手続は不要です。一般的に、75歳の誕生日を迎えられるまでに保険証が送られてきます。
詳細については、市町村または後期高齢者医療制度の窓口にお問い合わせください。"EOL
医療保険: 後期高齢者医療制度: ,後期高齢者医療被保険者証について教えてください。,"被保険者には、令和6年12月1日まで1人につき1枚の被保険者証（後期高齢者医療被保険者証）が交付されます。 被保険者証には、発行期日や市町村番号を含む保険者番号、被保険者番号などが記載されております。
新たに75歳となる方は、一般的に誕生日前日までに保険証が郵送
され、引き続き被保険者である方は、一般的に毎年8月1日で新しい保険証へ切り替わります。
詳細については、市町村または後期高齢者医療制度の窓口にお問い合わせください。"EOL
